City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Poum,NC,2021-09-24 05:02:12,-20.2333,164.0167,71.22,65,89,8.25
221,Gizo,SB,2021-09-24 05:02:13,-8.103,156.8419,82.6,71,83,4.34
222,Itaituba,BR,2021-09-24 05:02:13,-4.2761,-55.9836,74.1,87,94,0.67
223,Tezu,IN,2021-09-24 05:02:14,27.9167,96.1667,91.53,48,37,3.58
224,Hambantota,LK,2021-09-24 05:02:14,6.1241,81.1185,89.94,70,20,11.5
225,Rorvik,NO,2021-09-24 05:02:15,64.8621,11.2373,42.78,100,75,1.14
226,Necochea,AR,2021-09-24 05:00:29,-38.5473,-58.7368,48.04,94,1,7.49
227,Belmonte,BR,2021-09-24 05:02:15,-15.8631,-38.8828,66.7,78,82,10.74
228,Bilma,NE,2021-09-24 05:02:16,18.6853,12.9164,81.93,15,5,5.64
229,Forestville,US,2021-09-24 05:02:16,38.8451,-76.875,61.25,81,75,0.0
230,Cunduacan,MX,2021-09-24 05:02:17,18.0667,-93.1667,76.91,96,98,4.79
231,Lalibela,ET,2021-09-24 05:02:17,12.0333,39.0333,62.02,63,46,1.36
232,Port Lincoln,AU,2021-09-24 05:02:18,-34.7333,135.8667,58.3,51,45,17.43
233,Moussoro,TD,2021-09-24 05:02:18,13.6408,16.4901,80.56,62,65,8.37
234,Urucara,BR,2021-09-24 05:02:19,-2.5364,-57.76,75.56,82,100,2.24
235,Storm Lake,US,2021-09-24 05:02:19,42.6411,-95.2097,60.3,72,1,9.22
236,Staraya Poltavka,RU,2021-09-24 05:02:20,50.4772,46.4814,51.76,77,100,4.47
237,Kavieng,PG,2021-09-24 05:02:20,-2.5744,150.7967,84.79,68,22,11.68
238,Dunedin,NZ,2021-09-24 05:02:20,-45.8742,170.5036,55.8,64,69,12.64
239,Isiro,CD,2021-09-24 05:02:21,2.7739,27.616,66.02,99,100,1.05
240,Whyalla,AU,2021-09-24 05:02:21,-33.0333,137.5833,62.49,67,40,19.57
241,Nanortalik,GL,2021-09-24 05:02:22,60.1432,-45.2371,34.47,69,25,16.02
242,Lewiston,US,2021-09-24 04:57:22,44.1003,-70.2148,68.63,97,59,4.85
243,Chokurdakh,RU,2021-09-24 05:02:22,70.6333,147.9167,33.75,98,100,8.57
244,Lasa,IT,2021-09-24 05:02:23,46.6166,10.7002,44.62,26,2,5.44
245,Kasempa,ZM,2021-09-24 05:02:23,-13.4584,25.8338,67.05,49,4,9.04
246,Dorogobuzh,RU,2021-09-24 05:02:23,54.915,33.2972,41.83,91,100,16.15
247,Owosso,US,2021-09-24 05:02:24,42.9978,-84.1766,50.72,96,75,6.91
248,Kamaishi,JP,2021-09-24 05:02:24,39.2667,141.8833,71.15,71,29,9.26
249,Guerrero Negro,MX,2021-09-24 05:02:25,27.9769,-114.0611,72.84,81,78,10.8
250,Peterhead,GB,2021-09-24 05:02:25,57.5058,-1.7981,60.12,89,16,11.39
251,Victoria,HK,2021-09-24 04:59:22,22.2855,114.1577,91.45,80,47,16.87
252,Tabas,IR,2021-09-24 05:02:12,33.5959,56.9244,89.01,9,3,3.22
253,Alice Springs,AU,2021-09-24 05:02:26,-23.7,133.8833,78.35,8,2,4.61
254,Bayan,CN,2021-09-24 05:02:27,46.0833,127.4,64.2,52,30,7.09
255,Te Anau,NZ,2021-09-24 05:02:27,-45.4167,167.7167,42.89,96,96,5.84
256,Qasigiannguit,GL,2021-09-24 05:02:27,68.8193,-51.1922,25.05,91,84,4.63
257,Nosivka,UA,2021-09-24 05:02:28,50.9315,31.5828,46.33,95,100,19.6
258,Charters Towers,AU,2021-09-24 05:02:28,-20.1,146.2667,82.98,27,0,8.52
259,Constitucion,CL,2021-09-24 05:02:28,-35.3333,-72.4167,54.05,70,0,5.97
260,Tarko-Sale,RU,2021-09-24 05:02:29,64.9225,77.785,38.21,71,83,15.88
261,San Ramon,US,2021-09-24 05:02:29,37.7799,-121.978,75.38,56,1,0.0
262,Namibe,AO,2021-09-24 05:02:30,-15.1961,12.1522,64.74,96,45,0.58
263,Hamilton,US,2021-09-24 05:01:56,39.1834,-84.5333,52.43,87,2,4.72
264,Ahipara,NZ,2021-09-24 05:02:30,-35.1667,173.1667,58.78,71,79,13.42
265,Bac Lieu,VN,2021-09-24 05:02:31,9.285,105.7244,86.47,65,100,10.45
266,Bagdarin,RU,2021-09-24 05:02:31,54.4333,113.6,42.17,81,94,4.03
267,Asau,RO,2021-09-24 05:02:32,46.4333,26.4,51.96,63,98,8.08
268,Bud,US,2021-09-24 05:02:32,39.447,-86.1758,50.43,88,0,7.18
269,Beringovskiy,RU,2021-09-24 05:02:32,63.05,179.3167,34.83,83,100,24.27
